Date,Temp
1/3/00,5
1/10/00,5.25
1/19/00,-1
1/28/00,
2/2/00,
2/7/00,1
2/16/00,2
2/21/00,1.5
2/28/00,4.5
3/6/00,4
3/15/00,5.5
3/20/00,4.75
3/27/00,6.5
4/3/00,8
4/12/00,9
4/17/00,9
4/24/00,8.25
5/1/00,9.25
5/10/00,13.25
5/15/00,13.5
5/22/00,13.5
5/31/00,14.5
6/5/00,16
6/14/00,16.75
6/19/00,19
6/26/00,20.5
7/6/00,22
7/13/00,22
7/17/00,21.5
7/24/00,21.5
7/31/00,21
8/7/00,22
8/16/00,21
8/21/00,20
8/28/00,21
9/4/00,22
9/11/00,21
9/18/00,19
9/25/00,18
10/2/00,16.5
10/11/00,15
10/18/00,14
10/23/00,13
10/30/00,12
11/6/00,10
11/13/00,11.3
11/20/00,9.4
11/27/00,7.2
12/4/00,4
12/11/00,4
12/18/00,4
12/28/00,0.5
1/3/01,-1
1/8/01,1.5
1/15/01,1
1/22/01,0.9
1/29/01,1.8
2/7/01,2.2
2/12/01,1.6
2/19/01,1.1
2/26/01,2.6
3/8/01,
3/14/01,3.3
3/19/01,5.1
3/26/01,4.4
4/2/01,
4/9/01,6
4/20/01,7.6
4/23/01,9.4
4/30/01,10.4
5/7/01,11.7
5/14/01,14.6
5/21/01,13
5/29/01,14.3
6/4/01,
6/12/01,
6/19/01,22.1
6/25/01,21.3
7/2/01,20.3
7/9/01,20.1
7/16/01,21.4
7/23/01,20.6
7/30/01,21.4
8/6/01,22.5
8/13/01,23.9
8/20/01,21.8
8/27/01,22.6
9/5/01,21.6
9/17/01,21.8
9/17/01,19.7
9/24/01,20.7
10/1/01,17.5
10/8/01,16
10/15/01,16.2
10/22/01,15.1
10/29/01,12.8
11/5/01,13
11/12/01,10
11/19/01,9.9
11/26/01,9.4
12/3/01,10.2
12/10/01,8.4
12/17/01,7.9
12/27/01,5
12/31/01,4.6
1/7/02,3
1/14/02,3.2
1/21/02,1.4
1/28/02,4
2/4/02,3.3
2/11/02,4.2
2/18/02,3.3
2/25/02,4.3
3/4/02,5.2
3/11/02,5.4
3/18/02,6
3/25/02,6
4/1/02,7.2
4/8/02,7
4/15/02,10.5
4/22/02,11.8
4/29/02,9.7
5/6/02,11.2
5/13/02,12.3
5/22/02,11.9
5/27/02,13.7
6/3/02,15.8
6/10/02,16.7
6/17/02,15.9
6/24/02,19.4
7/1/02,21.4
7/9/02,21.6
7/15/02,21
7/22/02,21.6
7/29/02,21.9
8/5/02,24.8
8/12/02,22.3
8/19/02,24.5
8/27/02,22.3
9/6/02,20.5
9/11/02,21.8
9/16/02,20.8
9/23/02,21.2
9/30/02,19.9
10/7/02,18.8
10/15/02,15.4
10/21/02,14.6
10/28/02,12
11/4/02,10.3
11/11/02,11.5
11/18/02,9.4
11/25/02,8.3
12/2/02,6.3
12/9/02,3.4
12/16/02,4.1
12/20/02,4.5
1/3/03,3.9
1/6/03,3.5
1/13/03,2.8
1/20/03,1
1/27/03,-1.5
2/3/03,0.3
2/10/03,0.8
2/20/03,-1
2/24/03,0.2
3/3/03,0.3
3/10/03,0.4
3/19/03,3.2
3/24/03,4.8
3/31/03,6.3
4/9/03,3.6
4/14/03,
4/23/03,8.5
4/28/03,8.5
5/5/03,11.9
5/12/03,11.1
5/21/03,12.9
5/28/03,12.3
6/4/03,14.1
6/9/03,15.9
6/16/03,15.5
6/23/03,16.9
6/30/03,19.9
7/9/03,23
7/14/03,20.4
7/21/03,22
7/28/03,22
8/4/03,23
8/13/03,24.5
8/20/03,22.8
8/27/03,21.8
9/3/03,19
9/10/03,19.4
9/17/03,20.2
9/24/03,19.6
9/29/03,20.3
10/8/03,17.1
10/15/03,16.5
10/22/03,14
10/29/03,13.7
11/3/03,13.8
11/10/03,11.2
11/17/03,8.2
11/24/03,9.6
12/1/03,8.8
12/9/03,3.4
12/15/03,3.6
12/30/03,5
1/5/04,4.6
1/14/04,0
1/21/04,0
1/29/04,
2/4/04,-1
2/9/04,0
2/16/04,-1
2/23/04,1.5
3/1/04,2.8
3/12/04,3.8
3/18/04,
3/22/04,3
3/29/04,4.8
4/5/04,4.5
4/14/04,7
4/19/04,8.1
4/26/04,8.7
5/3/04,9.9
5/10/04,11.7
5/17/04,15.2
5/24/04,15.4
6/1/04,14
6/7/04,15
6/15/04,16.6
6/21/04,18.8
6/28/04,18.6
7/6/04,20.2
7/12/04,22
7/19/04,21.8
7/26/04,21.8
8/2/04,22.3
8/10/04,22
8/15/04,22.2
8/23/04,21.5
8/30/04,22
9/8/04,22.6
9/15/04,21
